week_num,rank_q,c_name_eng,online_quantity,online_ratio,single,dual,cylinder,drum,energy_grade_1,energy_grade_2,energy_grade_3,energy_grade_4,energy_grade_5,energy_grade_x,vol_under_4.4,vol_under_4.9,vol_under_5.4,vol_under_5.9,vol_under_6.4,vol_under_6.9,vol_under_7.4,vol_under_7.9,vol_over_8.0,price_under_200,price_under_400,price_under_600,price_under_800,price_under_1000,price_under_1200,price_under_1400,price_under_1900,price_under_2400,price_under_2900,price_under_3400,price_under_4400,price_over_4401,offline_quantity,offline_ratio,online_amount,online_amount_ratio,offline_amount,offline_amount_ratio,date
36,8,siemens,5884,0.043401612,NA,NA,NA,0.043401612,0.031466907,0.011883072,NA,NA,NA,5.16E-05,NA,NA,2.95E-05,NA,0.016552212,NA,0.015379395,0.001873557,0.009566943,NA,NA,NA,NA,NA,NA,NA,3.69E-05,0.010319316,0.004359339,0.008593283,0.012952623,0.00714017,5862,0.050218453,20156.966,0.128583617,24560.789,0.096974722,2015-08-31
36,13,lg,3273,0.024142331,NA,NA,0.001851428,0.022290903,0.014885189,0.00902848,0.000103267,NA,NA,0.000125396,0.000103267,NA,NA,7.38E-06,0.007508981,0.000361434,0.000560592,8.85E-05,0.015512167,NA,NA,NA,NA,NA,NA,7.38E-06,0.000435196,0.008408878,0.010776641,0.001932567,0.002072715,0.000508958,3144,0.02693395,8908.612,0.056829066,11396.239,0.044996401,2015-08-31
36,19,hisense,1009,0.007442595,NA,NA,0.006992646,0.000449949,5.90E-05,0.000449949,0.00692626,NA,NA,7.38E-06,NA,NA,0.003429937,2.95E-05,0.002153853,NA,0.001807171,NA,2.21E-05,NA,NA,NA,0.0038135,0.002847217,0.000250791,4.43E-05,0.000420444,5.16E-05,7.38E-06,NA,7.38E-06,NA,2131,0.018255804,890.064,0.005677821,3227.16,0.012741974,2015-08-31
37,1,haier,26208,0.17173074,0.004619588,0.010156542,0.117389965,0.039564645,0.042028425,0.004416458,0.090504616,0.000740445,2.62E-05,0.034014586,0.009501281,NA,0.004855482,0.023248652,0.029866785,0.006991632,0.076213379,0.008492179,0.012561349,NA,0.004619588,0.007227526,0.00530106,0.066377915,0.026203878,0.008538048,0.013249373,0.02540446,0.005969426,0.003427014,0.003728434,0.00168402,19861,0.246732757,36660.415,0.191642436,41182.132,0.249716444,2015-09-07
37,5,galanz,9545,0.06254464,NA,NA,0.012974163,0.049570477,0.003997091,0.045573386,0.012974163,NA,NA,NA,NA,NA,NA,NA,0.052106336,0.004449221,0.005982531,6.55E-06,NA,NA,NA,NA,0.010398988,0.013681845,0.027252295,0.00319112,0.007935208,7.86E-05,NA,NA,NA,6.55E-06,397,0.004931922,9944.492,0.051984864,479.226,0.002905887,2015-09-07
37,6,siemens,8881,0.058193708,NA,NA,NA,0.058193708,0.047028065,0.011113223,NA,NA,NA,5.24E-05,NA,NA,3.28E-05,NA,0.016388072,6.55E-06,0.022776864,0.001710231,0.017279226,NA,NA,NA,NA,NA,NA,NA,1.97E-05,0.009507834,0.004809614,0.014402632,0.022396813,0.007057158,6660,0.08273703,31621.86,0.165303374,27528.684,0.166925915,2015-09-07
37,7,sanyo,7166,0.046955986,NA,NA,0.027959977,0.018996009,0.004442668,0.007162,0.034420848,0.00060284,NA,0.00032763,0.000583182,NA,0.003833275,0.007083369,0.007325815,0.004311616,0.016119415,0.002417912,0.005281402,NA,NA,NA,0.010398988,0.013832555,0.002050966,0.001762651,0.008538048,0.006356029,0.001258101,0.001913361,0.000583182,0.000262104,5165,0.064164679,10081.697,0.052702103,10305.804,0.062491391,2015-09-07
37,9,lg,5674,0.037179496,NA,NA,0.001415363,0.035764132,0.020955239,0.01610631,5.24E-05,NA,NA,6.55E-05,5.24E-05,NA,NA,NA,0.01477613,0.000196578,0.00105497,7.21E-05,0.021027318,NA,NA,NA,NA,NA,NA,NA,0.000380051,0.015339654,0.009560255,0.00610703,0.005228981,0.000563524,1564,0.019429537,15259.538,0.079769284,5588.172,0.033885046,2015-09-07
37,22,hisense,891,0.005838373,NA,NA,0.005379691,0.000458683,5.90E-05,0.00045213,0.00532727,NA,NA,NA,NA,NA,0.00228686,0.000137605,0.0015071,NA,0.001893704,NA,1.31E-05,NA,NA,NA,0.003033857,0.001828178,0.000458683,9.83E-05,0.000380051,2.62E-05,6.55E-06,NA,6.55E-06,NA,1400,0.017392169,814.017,0.004255276,2042.803,0.012386962,2015-09-07
38,1,haier,29345,0.189,0.005,0.01,0.139,0.036,0.037,0.004,0.119,0,0,0.029,0.009,NA,0.007,0.022,0.045,0.008,0.074,0.012,0.013,NA,0.005,0.007,0.005,0.073,0.036,0.018,0.01,0.02,0.008,0.003,0.005,0.001,86835,0.253,39277,0.221,227505,0.256,2015-09-14
