week_num	product_type	sentiment	keyword	role	numKeyword	numDocs	competitor
2015/38	Bolun	pos	过日子	L	1	1	galanz
2015/38	Bolun	pos	量身定做	L	1	1	galanz
2015/38	Bolun	pos	无微不至	L	1	1	galanz
2015/33	Bolun	pos	监测	N	1	1	galanz
2015/33	Bolun	pos	经过	N	1	1	galanz
2015/33	Bolun	pos	基础	N	1	1	galanz
2015/33	Bolun	pos	内容	N	1	1	galanz
2015/33	Bolun	pos	零售额	N	1	1	galanz
2015/33	Bolun	pos	名称	N	1	1	galanz
2015/33	Bolun	pos	迷雾	N	1	1	galanz
2015/33	Bolun	pos	博览会	N	1	1	galanz
2015/33	Bolun	pos	发展	N	1	1	galanz
2015/33	Bolun	pos	环境	N	1	1	galanz
2015/33	Bolun	pos	排位	N	1	1	galanz
2015/33	Bolun	pos	星期	N	1	1	galanz
2015/33	Bolun	pos	销售	N	1	1	galanz
2015/33	Bolun	pos	小孩子	N	1	1	galanz
2015/33	Bolun	pos	试验	N	1	1	galanz
2015/33	Bolun	pos	热点	N	1	1	galanz
2015/33	Bolun	pos	全部	N	1	1	galanz
2015/33	Bolun	pos	电视	N	1	1	galanz
2015/33	Bolun	pos	传统	N	1	1	galanz
2015/33	Bolun	pos	节奏	N	1	1	galanz
2015/33	Bolun	pos	重点	N	1	1	galanz
2015/33	Bolun	pos	责任	N	1	1	galanz
2015/33	Bolun	pos	总裁	N	1	1	galanz
2015/33	Bolun	pos	编辑	N	1	1	galanz
2015/33	Bolun	pos	平台	N	1	1	galanz
2015/33	Bolun	pos	废物	N	1	1	galanz
2015/33	Bolun	pos	布局	N	1	1	galanz
2015/33	Bolun	pos	幅度	N	1	1	galanz
2015/33	Bolun	pos	风潮	N	1	1	galanz
2015/33	Bolun	pos	含水率	N	1	1	galanz
2015/33	Bolun	pos	行业	N	1	1	galanz
2015/38	Bolun	pos	家用	N	1	1	galanz
2015/38	Bolun	pos	家电	N	1	1	galanz
2015/38	Bolun	pos	开关	N	1	1	galanz
