weeknum,company,product,media_num,media_name,neg_pos,count
2015/35,haier,bolun,5,community,pos,0
2015/35,haier,bolun,7,bbs,neg,0
2015/35,haier,bolun,7,bbs,pos,1
2015/35,haier,bolun,9,weibo,neg,0
2015/35,haier,bolun,9,weibo,pos,0
2015/35,haier,bolun,z,others,neg,0
2015/35,haier,bolun,z,others,pos,0
2015/35,haier,drum,0,wiki,neg,29
2015/35,haier,drum,0,wiki,pos,0
2015/35,haier,drum,1,news,neg,0
2015/35,haier,drum,1,news,pos,21
2015/35,haier,drum,2,blog,neg,0
2015/35,haier,drum,2,blog,pos,0
2015/35,haier,drum,5,community,neg,0
2015/35,haier,drum,5,community,pos,0
2015/35,haier,drum,7,bbs,neg,5
2015/35,haier,drum,7,bbs,pos,0
2015/35,haier,drum,9,weibo,neg,1
2015/35,haier,drum,9,weibo,pos,1
2015/35,haier,drum,z,others,neg,0
2015/35,haier,drum,z,others,pos,0
2015/35,hisense,bolun,0,wiki,neg,0
2015/35,hisense,bolun,0,wiki,pos,0
2015/35,hisense,bolun,1,news,neg,0
2015/35,hisense,bolun,1,news,pos,2
2015/35,hisense,bolun,2,blog,neg,0
2015/35,hisense,bolun,2,blog,pos,0
2015/35,hisense,bolun,5,community,neg,0
2015/35,hisense,bolun,5,community,pos,0
2015/35,hisense,bolun,7,bbs,neg,0
2015/35,hisense,bolun,7,bbs,pos,0
2015/35,hisense,bolun,9,weibo,neg,0
2015/35,hisense,bolun,9,weibo,pos,0
2015/35,hisense,bolun,z,others,neg,0
2015/35,hisense,bolun,z,others,pos,0
2015/35,hisense,drum,0,wiki,neg,1
2015/35,hisense,drum,0,wiki,pos,0
2015/35,hisense,drum,1,news,neg,0
2015/35,hisense,drum,1,news,pos,4
2015/35,hisense,drum,2,blog,neg,0
2015/35,hisense,drum,2,blog,pos,0
2015/35,hisense,drum,5,community,neg,0
2015/35,hisense,drum,5,community,pos,0
2015/35,hisense,drum,7,bbs,neg,0
2015/35,hisense,drum,7,bbs,pos,0
2015/35,hisense,drum,9,weibo,neg,0
2015/35,hisense,drum,9,weibo,pos,0
2015/35,hisense,drum,z,others,neg,0
2015/35,hisense,drum,z,others,pos,0
2015/35,lg,bolun,0,wiki,neg,1
2015/35,lg,bolun,0,wiki,pos,0
2015/35,lg,bolun,1,news,neg,0
2015/35,lg,bolun,1,news,pos,0
2015/35,lg,bolun,2,blog,neg,0
2015/35,lg,bolun,2,blog,pos,0
2015/35,lg,bolun,5,community,neg,0
2015/35,lg,bolun,5,community,pos,0
2015/35,lg,bolun,7,bbs,neg,0
2015/35,lg,bolun,7,bbs,pos,0
2015/35,lg,bolun,9,weibo,neg,0
2015/35,lg,bolun,9,weibo,pos,0
2015/35,lg,bolun,z,others,neg,0
2015/35,lg,bolun,z,others,pos,0
2015/35,lg,drum,0,wiki,neg,0
2015/35,lg,drum,0,wiki,pos,9
2015/35,lg,drum,1,news,neg,7
2015/35,lg,drum,1,news,pos,0
2015/35,lg,drum,2,blog,neg,0
2015/35,lg,drum,2,blog,pos,0
2015/35,lg,drum,5,community,neg,0
2015/35,lg,drum,5,community,pos,0
2015/35,lg,drum,7,bbs,neg,1
2015/35,lg,drum,7,bbs,pos,8
2015/35,lg,drum,9,weibo,neg,0
2015/35,lg,drum,9,weibo,pos,2
2015/35,lg,drum,z,others,neg,0
2015/35,lg,drum,z,others,pos,0
2015/35,sanyo,bolun,0,wiki,neg,1
2015/35,sanyo,bolun,0,wiki,pos,0
2015/35,sanyo,bolun,1,news,neg,0
2015/35,sanyo,bolun,1,news,pos,3
2015/35,sanyo,bolun,2,blog,neg,0
2015/35,sanyo,bolun,2,blog,pos,0
2015/35,sanyo,bolun,5,community,neg,0
2015/35,sanyo,bolun,5,community,pos,0
2015/35,sanyo,bolun,7,bbs,neg,0
2015/35,sanyo,bolun,7,bbs,pos,0
2015/35,sanyo,bolun,9,weibo,neg,0
2015/35,sanyo,bolun,9,weibo,pos,0
2015/35,sanyo,bolun,z,others,neg,0
2015/35,sanyo,bolun,z,others,pos,0
2015/35,sanyo,drum,0,wiki,neg,10
2015/35,sanyo,drum,0,wiki,pos,0
2015/35,sanyo,drum,1,news,neg,0
2015/35,sanyo,drum,1,news,pos,4
2015/35,sanyo,drum,2,blog,neg,0
2015/35,sanyo,drum,2,blog,pos,0
2015/35,sanyo,drum,5,community,neg,0
2015/35,sanyo,drum,5,community,pos,0
2015/35,sanyo,drum,7,bbs,neg,2
2015/35,sanyo,drum,7,bbs,pos,0
2015/35,sanyo,drum,9,weibo,neg,0
2015/35,sanyo,drum,9,weibo,pos,0
2015/35,sanyo,drum,z,others,neg,0
2015/35,sanyo,drum,z,others,pos,0
2015/35,siemens,bolun,0,wiki,neg,1
2015/35,siemens,bolun,0,wiki,pos,0
2015/35,siemens,bolun,1,news,neg,0
2015/35,siemens,bolun,1,news,pos,0
2015/35,siemens,bolun,2,blog,neg,0
2015/35,siemens,bolun,2,blog,pos,0
2015/35,siemens,bolun,5,community,neg,0
2015/35,siemens,bolun,5,community,pos,0
2015/35,siemens,bolun,7,bbs,neg,0
2015/35,siemens,bolun,7,bbs,pos,0
2015/35,siemens,bolun,9,weibo,neg,0
2015/35,siemens,bolun,9,weibo,pos,0
2015/35,siemens,bolun,z,others,neg,0
2015/35,siemens,bolun,z,others,pos,0
2015/35,siemens,drum,0,wiki,neg,16
2015/35,siemens,drum,0,wiki,pos,0
2015/35,siemens,drum,1,news,neg,0
2015/35,siemens,drum,1,news,pos,8
2015/35,siemens,drum,2,blog,neg,0
2015/35,siemens,drum,2,blog,pos,0
2015/35,siemens,drum,5,community,neg,0
2015/35,siemens,drum,5,community,pos,0
2015/35,siemens,drum,7,bbs,neg,3
2015/35,siemens,drum,7,bbs,pos,0
