date,detail,cash,credit,creditType,category,tag,waste
2010년05월30일,보험료,320000,0,,저축/보험>보험,,
2010년05월31일,점심값,6000,0,,식비>평일점심,,
2010년06월01일,점심값,7000,0,,식비>평일점심,,
2010년06월01일,구두닦음,3000,0,,의복/미용>기타,,
2010년06월01일,담배값,2500,0,,용돈/기타>담배,,
2010년06월01일,미용실,10000,0,,의복/미용>헤어/뷰티,,
2010년06월01일,술값,27500,0,,식비>술/유흥,,
2010년06월02일,담배값,2500,0,,용돈/기타>담배,,
2010년06월02일,동기들과 저녁식사,15000,0,,식비>외식,,
2010년06월02일,음료수,1000,0,,식비>커피/음료,,
2010년06월03일,점심값(바다마당),6000,0,,식비>평일점심,,
2010년06월04일,점심값,5000,0,,식비>평일점심,,
2010년06월04일,복불복,2000,0,,식비>간식,,
2010년06월04일,노래방,10000,0,,건강/문화>기타,,
2010년06월04일,담배값,2500,0,,용돈/기타>담배,,
2010년06월05일,운동회후 회식,15000,0,,경조사/회비>모임회비,,
2010년06월05일,발마사지,15000,0,,건강/문화>기타,,
2010년06월05일,커피숍,6000,0,,식비>커피/음료,,
2010년06월06일,장정구입,361000,0,,의복/미용>의류비,,
2010년06월06일,티셔츠(2장),50000,0,,의복/미용>의류비,,
2010년06월07일,담배값,2500,0,,용돈/기타>담배,,
2010년06월08일,점심값,6000,0,,식비>평일점심,,
2010년06월09일,껌,1000,0,,식비>기타,,
2010년06월09일,점심값,5000,0,,식비>평일점심,,
2010년06월09일,담배값,2500,0,,용돈/기타>담배,,
2010년06월09일,라이터,500,0,,생활용품>잡화소모,,
2010년06월10일,점심값,7000,0,,식비>평일점심,,
2010년06월10일,택시비 정산,0,94860,LIG 손해보험-현,교통/차량>택시비C,,
2010년06월10일,대중교통비정산,0,69800,LIG 손해보험-현,교통/차량>대중교통비,,
2010년06월11일,점심값,5000,0,,식비>평일점심,,
2010년06월11일,팀회비(에스프레소머신),30000,0,,경조사/회비>모임회비,,
2010년06월11일,헬스장(8개월),0,400000,LIG 손해보험-현,건강/문화>운동/레저,,
2010년06월12일,술값,0,79900,LIG 손해보험-현,식비>술/유흥,,
2010년06월12일,게임방,2000,0,,건강/문화>기타,,
2010년06월13일,가족회식,51000,0,,식비>외식,,
2010년06월13일,팥빙수,4000,0,,식비>간식,,
2010년06월14일,점심값,6000,0,,식비>평일점심,,
