"날짜","yearMonth","category1","category2","detail","현금","카드","카드분류","total","type","totalExpenditure","totalIncome","totalSave"
"2010-05-01","2010-05","건강/문화","기타","게임방",3000,0,NA,3000,"expenditure",3000,0,0
"2010-05-01","2010-05","식비","술/유흥","육회마을",0,29000,"LIG 손해보험-현",29000,"expenditure",29000,0,0
"2010-05-02","2010-05","의복/미용","헤어/뷰티","이발",0,10000,"LIG 손해보험-현",10000,"expenditure",10000,0,0
"2010-05-02","2010-05","생활용품","주방/욕실","칫솔2개",0,6400,"LIG 손해보험-현",6400,"expenditure",6400,0,0
"2010-05-02","2010-05","생활용품","주방/욕실","면도기날",0,9900,"LIG 손해보험-현",9900,"expenditure",9900,0,0
"2010-05-02","2010-05","식비","커피/음료","콜라1.5L",0,1850,"LIG 손해보험-현",1850,"expenditure",1850,0,0
"2010-05-02","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-02","2010-05","용돈/기타","기타","기타잡비",20000,0,NA,20000,"expenditure",20000,0,0
"2010-05-03","2010-05","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-04","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-04","2010-05","경조사/회비","모임회비","회비밀린것",7500,0,NA,7500,"expenditure",7500,0,0
"2010-05-06","2010-05","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-05-07","2010-05","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-07","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-08","2010-05","용돈/기타","선물","카네이션",7000,0,NA,7000,"expenditure",7000,0,0
"2010-05-08","2010-05","식비","커피/음료","음료수",4000,0,NA,4000,"expenditure",4000,0,0
"2010-05-08","2010-05","생활용품","잡화소모","전구값",3000,0,NA,3000,"expenditure",3000,0,0
"2010-05-09","2010-05","건강/문화","기타","게임방",3000,0,NA,3000,"expenditure",3000,0,0
"2010-05-10","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-10","2010-05","식비","커피/음료","캔커피",900,0,NA,900,"expenditure",900,0,0
"2010-05-10","2010-05","교통/차량","택시비C","택시비 정산",0,15800,"LIG 손해보험-현",15800,"expenditure",15800,0,0
"2010-05-10","2010-05","교통/차량","택시비C","택시비 정산(야간)",0,67040,"LIG 손해보험-현",67040,"expenditure",67040,0,0
"2010-05-10","2010-05","교통/차량","대중교통비","대중교통비정산",0,82200,"LIG 손해보험-현",82200,"expenditure",82200,0,0
"2010-05-11","2010-05","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-05-12","2010-05","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-12","2010-05","건강/문화","운동/레저","탁구비",3000,0,NA,3000,"expenditure",3000,0,0
"2010-05-13","2010-05","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-13","2010-05","세금/이자","기타","수수료",1000,0,NA,1000,"expenditure",1000,0,0
"2010-05-13","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-13","2010-05","식비","간식","껌",500,0,NA,500,"expenditure",500,0,0
"2010-05-14","2010-05","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-14","2010-05","식비","술/유흥","유흥비",220000,0,NA,220000,"expenditure",220000,0,0
"2010-05-14","2010-05","세금/이자","기타","수수료",2600,0,NA,2600,"expenditure",2600,0,0
"2010-05-14","2010-05","식비","술/유흥","술집",0,20500,"LIG 손해보험-현",20500,"expenditure",20500,0,0
"2010-05-15","2010-05","식비","커피/음료","음료수",1000,0,NA,1000,"expenditure",1000,0,0
"2010-05-16","2010-05","용돈/기타","선물","선배생일선물",0,31500,"LIG 손해보험-현",31500,"expenditure",31500,0,0
"2010-05-16","2010-05","건강/문화","기타","게임방",3000,0,NA,3000,"expenditure",3000,0,0
"2010-05-17","2010-05","식비","평일점심","점심값",10000,0,NA,10000,"expenditure",10000,0,0
"2010-05-17","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-17","2010-05","식비","술/유흥","술값(급미팅)",40000,0,NA,40000,"expenditure",40000,0,0
"2010-05-19","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-19","2010-05","용돈/기타","기타","빌려줌",2000,0,NA,2000,"expenditure",2000,0,0
"2010-05-20","2010-05","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-05-20","2010-05","용돈/기타","선물","부모님선물",55700,0,NA,55700,"expenditure",55700,0,0
"2010-05-20","2010-05","의복/미용","의류비","속옷(유니클로)",12900,0,NA,12900,"expenditure",12900,0,0
"2010-05-21","2010-05","식비","외식","라빠에야(소개팅)",50270,0,NA,50270,"expenditure",50270,0,0
"2010-05-21","2010-05","식비","커피/음료","커피숍(소개팅)",12500,0,NA,12500,"expenditure",12500,0,0
"2010-05-21","2010-05","식비","술/유흥","술값",55000,0,NA,55000,"expenditure",55000,0,0
"2010-05-21","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-21","2010-05","식비","간식","껌",500,0,NA,500,"expenditure",500,0,0
"2010-05-22","2010-05","건강/문화","기타","게임방",4000,0,NA,4000,"expenditure",4000,0,0
"2010-05-22","2010-05","식비","외식","닭도리탕",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-24","2010-05","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-05-25","2010-05","주거/통신","이동통신","핸드폰 요금",66990,0,NA,66990,"expenditure",66990,0,0
"2010-05-25","2010-05","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-25","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-25","2010-05","식비","커피/음료","음료수",2000,0,NA,2000,"expenditure",2000,0,0
"2010-05-26","2010-05","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-05-27","2010-05","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-05-27","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-28","2010-05","식비","커피/음료","커피(복불복)",13500,0,NA,13500,"expenditure",13500,0,0
"2010-05-29","2010-05","식비","간식","와플",1000,0,NA,1000,"expenditure",1000,0,0
"2010-05-29","2010-05","식비","커피/음료","음료수",1000,0,NA,1000,"expenditure",1000,0,0
"2010-05-29","2010-05","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-05-31","2010-05","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-01","2010-06","식비","평일점심","점심값",7000,0,NA,7000,"expenditure",7000,0,0
"2010-06-01","2010-06","의복/미용","기타","구두닦음",3000,0,NA,3000,"expenditure",3000,0,0
"2010-06-01","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-01","2010-06","의복/미용","헤어/뷰티","미용실",10000,0,NA,10000,"expenditure",10000,0,0
"2010-06-01","2010-06","식비","술/유흥","술값",27500,0,NA,27500,"expenditure",27500,0,0
"2010-06-02","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-02","2010-06","식비","외식","동기들과 저녁식사",15000,0,NA,15000,"expenditure",15000,0,0
"2010-06-02","2010-06","식비","커피/음료","음료수",1000,0,NA,1000,"expenditure",1000,0,0
"2010-06-03","2010-06","식비","평일점심","점심값(바다마당)",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-04","2010-06","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-04","2010-06","식비","간식","복불복",2000,0,NA,2000,"expenditure",2000,0,0
"2010-06-04","2010-06","건강/문화","기타","노래방",10000,0,NA,10000,"expenditure",10000,0,0
"2010-06-04","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-05","2010-06","경조사/회비","모임회비","운동회후 회식",15000,0,NA,15000,"expenditure",15000,0,0
"2010-06-05","2010-06","건강/문화","기타","발마사지",15000,0,NA,15000,"expenditure",15000,0,0
"2010-06-05","2010-06","식비","커피/음료","커피숍",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-06","2010-06","의복/미용","의류비","장정구입",361000,0,NA,361000,"expenditure",361000,0,0
"2010-06-06","2010-06","의복/미용","의류비","티셔츠(2장)",50000,0,NA,50000,"expenditure",50000,0,0
"2010-06-07","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-08","2010-06","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-09","2010-06","식비","기타","껌",1000,0,NA,1000,"expenditure",1000,0,0
"2010-06-09","2010-06","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-09","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-09","2010-06","생활용품","잡화소모","라이터",500,0,NA,500,"expenditure",500,0,0
"2010-06-10","2010-06","식비","평일점심","점심값",7000,0,NA,7000,"expenditure",7000,0,0
"2010-06-10","2010-06","교통/차량","택시비C","택시비 정산",0,94860,"LIG 손해보험-현",94860,"expenditure",94860,0,0
"2010-06-10","2010-06","교통/차량","대중교통비","대중교통비정산",0,69800,"LIG 손해보험-현",69800,"expenditure",69800,0,0
"2010-06-11","2010-06","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-11","2010-06","경조사/회비","모임회비","팀회비(에스프레소머신)",30000,0,NA,30000,"expenditure",30000,0,0
"2010-06-11","2010-06","건강/문화","운동/레저","헬스장(8개월)",0,4e+05,"LIG 손해보험-현",4e+05,"expenditure",4e+05,0,0
"2010-06-12","2010-06","식비","술/유흥","술값",0,79900,"LIG 손해보험-현",79900,"expenditure",79900,0,0
"2010-06-12","2010-06","건강/문화","기타","게임방",2000,0,NA,2000,"expenditure",2000,0,0
"2010-06-13","2010-06","식비","외식","가족회식",51000,0,NA,51000,"expenditure",51000,0,0
"2010-06-13","2010-06","식비","간식","팥빙수",4000,0,NA,4000,"expenditure",4000,0,0
"2010-06-14","2010-06","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-14","2010-06","의복/미용","의류비","운동화",0,55200,"LIG 손해보험-현",55200,"expenditure",55200,0,0
"2010-06-15","2010-06","식비","평일점심","점심값",12000,0,NA,12000,"expenditure",12000,0,0
"2010-06-15","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-15","2010-06","식비","커피/음료","음료수",3000,0,NA,3000,"expenditure",3000,0,0
"2010-06-16","2010-06","식비","외식","점심식사(정민)",0,29150,"LIG 손해보험-현",29150,"expenditure",29150,0,0
"2010-06-16","2010-06","경조사/회비","모임회비","동회회비",20000,0,NA,20000,"expenditure",20000,0,0
"2010-06-17","2010-06","식비","평일점심","점심값",7000,0,NA,7000,"expenditure",7000,0,0
"2010-06-17","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-18","2010-06","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
